[2026-05-08 15:54:57,570] INFO tracking_app.views user_map_auth_view: cache status cached_count=0 last_fetch=0 force_refresh=False
[2026-05-08 15:54:57,572] INFO tracking_app.views user_map_auth_view: fetching fresh auth vessel data
[2026-05-08 15:54:57,573] INFO tracking_app.views user_map_auth_view: fetching associated vessels url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/UserAssociatedVessels/4
[2026-05-08 15:54:58,894] INFO tracking_app.views user_map_auth_view: associated vessels status_code=200
[2026-05-08 15:54:58,894] INFO tracking_app.views user_map_auth_view: associated vessel ids count=4
[2026-05-08 15:54:58,895] INFO tracking_app.views user_map_auth_view: fetching latest vessel records url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/latestVesselrecord?vesselIds=118
[2026-05-08 15:55:00,064] INFO tracking_app.views user_map_auth_view: latest records status_code=200 vessel_id=118
[2026-05-08 15:55:00,067] INFO tracking_app.views user_map_auth_view: fetching latest vessel records url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/latestVesselrecord?vesselIds=117
[2026-05-08 15:55:01,276] INFO tracking_app.views user_map_auth_view: latest records status_code=200 vessel_id=117
[2026-05-08 15:55:01,276] INFO tracking_app.views user_map_auth_view: fetching latest vessel records url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/latestVesselrecord?vesselIds=120
[2026-05-08 15:55:02,246] INFO tracking_app.views user_map_auth_view: latest records status_code=200 vessel_id=120
[2026-05-08 15:55:02,247] INFO tracking_app.views user_map_auth_view: fetching latest vessel records url=https://shiptrackingapiauth-787201059405.asia-south2.run.app/VesselTracking/latestVesselrecord?vesselIds=119
[2026-05-08 15:55:03,146] INFO tracking_app.views user_map_auth_view: latest records status_code=200 vessel_id=119
[2026-05-08 15:55:03,146] INFO tracking_app.views user_map_auth_view: latest records cached count=4
[2026-05-08 15:55:03,147] INFO tracking_app.views user_map_auth_view: creating base map
[2026-05-08 15:55:03,351] INFO tracking_app.views user_map_auth_view: adding tile layers
[2026-05-08 15:55:03,378] INFO tracking_app.views user_map_auth_view: grouping vessel records into routes
[2026-05-08 15:55:03,381] INFO tracking_app.views user_map_auth_view: route grouping complete route_count=4
[2026-05-08 15:55:03,382] INFO tracking_app.views user_map_auth_view: preparing vessel JavaScript data
[2026-05-08 15:55:03,382] INFO tracking_app.views user_map_auth_view: building map JavaScript
[2026-05-08 15:55:03,403] INFO tracking_app.views user_map_auth_view: rendering template
[2026-05-08 15:55:03,604] INFO django.server "GET /user_map_auth/ HTTP/1.1" 200 30776
[2026-05-08 15:55:12,923] INFO django.server "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 200 2
[2026-05-08 15:55:52,847] INFO tracking_app.views user_map_auth_view: request started user_authenticated=True
[2026-05-08 15:55:52,848] INFO tracking_app.views user_map_auth_view: cache status cached_count=4 last_fetch=1778235903.1463954 force_refresh=False
[2026-05-08 15:55:52,848] INFO tracking_app.views user_map_auth_view: using cached auth vessel data
[2026-05-08 15:55:52,849] INFO tracking_app.views user_map_auth_view: creating base map
[2026-05-08 15:55:52,851] INFO tracking_app.views user_map_auth_view: adding tile layers
[2026-05-08 15:55:52,886] INFO tracking_app.views user_map_auth_view: grouping vessel records into routes
[2026-05-08 15:55:52,886] INFO tracking_app.views user_map_auth_view: route grouping complete route_count=4
